Game Date,Player Name,Position,Team,Opponent,Period 1 - SOG,Period 2 - SOG,Period 3 - SOG,Total SOG,Period 1 - Blocked,Period 1 - Missed,Period 1 - Failed Shots,Period 2 - Blocked,Period 2 - Missed,Period 2 - Failed Shots,Period 3 - Blocked,Period 3 - Missed,Period 3 - Failed Shots,SUM of Failed Shots,SUM of Shot Attempts,Shot %,Failed Shot %
10/17/2024,Beck Malenstyn,LW,Buffalo Sabres,Columbus Blue Jackets,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,100,0
10/17/2024,Ryan McLeod,C,Buffalo Sabres,Columbus Blue Jackets,0,1,1,2,0,0,0,0,0,0,0,1,1,1,3,66.66666667,33.33333333
10/17/2024,John-Jason Peterka,RW,Buffalo Sabres,Columbus Blue Jackets,0,2,1,3,0,0,0,3,0,3,1,1,2,5,8,37.5,62.5
10/17/2024,Owen Power,D,Buffalo Sabres,Columbus Blue Jackets,0,1,1,2,0,0,0,0,0,0,1,0,1,1,3,66.66666667,33.33333333
10/17/2024,Mattias Samuelsson,D,Buffalo Sabres,Columbus Blue Jackets,0,0,1,1,0,0,0,0,0,0,0,2,2,2,3,33.33333333,66.66666667
10/17/2024,Tage Thompson,C,Buffalo Sabres,Columbus Blue Jackets,0,0,2,2,0,0,0,1,0,1,1,0,1,2,4,50,50
10/17/2024,Alex Tuch,RW,Buffalo Sabres,Columbus Blue Jackets,0,0,0,0,1,1,2,0,2,2,0,0,0,4,4,0,100
10/17/2024,Jason Zucker,LW,Buffalo Sabres,Columbus Blue Jackets,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,100,0
,,,,,,,,,,,,,,,,,,,,,
10/19/2024,Zach Benson,LW,Buffalo Sabres,Chicago Blackhawks,0,0,0,0,0,1,1,0,1,1,0,0,0,2,2,0,100
10/19/2024,Bowen Byram,D,Buffalo Sabres,Chicago Blackhawks,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,100,0
10/19/2024,Connor Clifton,D,Buffalo Sabres,Chicago Blackhawks,1,0,0,1,0,0,0,0,0,0,1,0,1,1,2,50,50
10/19/2024,Dylan Cozens,C,Buffalo Sabres,Chicago Blackhawks,1,0,0,1,1,0,1,0,0,0,0,2,2,3,4,25,75
10/19/2024,Rasmus Dahlin,D,Buffalo Sabres,Chicago Blackhawks,0,0,0,0,0,1,1,1,0,1,0,0,0,2,2,0,100
10/19/2024,Henri Jokiharju,D,Buffalo Sabres,Chicago Blackhawks,0,0,0,0,4,0,4,0,0,0,1,0,1,5,5,0,100
10/19/2024,Peyton Krebs,C,Buffalo Sabres,Chicago Blackhawks,0,1,0,1,1,0,1,1,0,1,0,0,0,2,3,33.33333333,66.66666667
10/19/2024,Jiri Kulich,C,Buffalo Sabres,Chicago Blackhawks,3,1,1,5,1,1,2,0,0,0,0,0,0,2,7,71.42857143,28.57142857
10/19/2024,Sam Lafferty,C,Buffalo Sabres,Chicago Blackhawks,1,1,0,2,1,0,1,0,0,0,1,0,1,2,4,50,50
10/19/2024,Beck Malenstyn,LW,Buffalo Sabres,Chicago Blackhawks,1,1,0,2,1,0,1,0,0,0,0,0,0,1,3,66.66666667,33.33333333
10/19/2024,Ryan McLeod,C,Buffalo Sabres,Chicago Blackhawks,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,100,0
10/19/2024,John-Jason Peterka,RW,Buffalo Sabres,Chicago Blackhawks,0,1,0,1,0,1,1,0,0,0,0,0,0,1,2,50,50
10/19/2024,Owen Power,D,Buffalo Sabres,Chicago Blackhawks,0,0,0,0,0,0,0,1,2,3,1,1,2,5,5,0,100
10/19/2024,Jack Quinn,RW,Buffalo Sabres,Chicago Blackhawks,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,100,0
10/19/2024,Mattias Samuelsson,D,Buffalo Sabres,Chicago Blackhawks,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,100
